Feature,Importance,Label
v82001__5,0.005080407055292095,Food insecurity experience:… was there a time when you ate l
v91009a__4,0.005078317226820996,The 3 most important reasons for why poor people have low in
v82001__2,0.005047455020540829,Food insecurity experience:… was there a time when you were 
v32026__6,0.00500253265664731,What is the major change with the temperature?:More heat day
v91008__4,0.004974091281140291,The 3 most important reasons for why rich people have high i
v91009a__10,0.00494068045115013,The 3 most important reasons for why poor people have low in
v32032,0.004831828896465131,How much have these changes affected your non agricultural a
v32031__6,0.004680817460513565,In which way have these changes affected your non agricultur
v91011,0.004297293570127967,Disparities in standard of living in this community
v32025__12,0.004168413370289973,What is the major change with the rainfall?:Rain more errati
v91008__1,0.004040297095763449,The 3 most important reasons for why rich people have high i
v32035,0.00402853160462161,How much do these climatic changes affect your food security
v94002b,0.004014001892581061,One has to work hard in order to succeed.
v42003a__1326,0.004005412516338008,Variety:Durian
v32029,0.0040037400754660375,How much do these changes affected your agricultural activit
v91001__35,0.0039706047512468624,Which ones of the following assets does your HH own?:Washing
v91008__5,0.003941831368232118,The 3 most important reasons for why rich people have high i
v26001,0.003913740816716055,Using of plastic items than a year ago
v71412__8,0.003880673315182183,What kinds of savings do you possess:Save at home
v72107,0.003792280842413731,How many public transfers that the HH or any member received
v91001__48,0.0035938979123718794,Which ones of the following assets does your HH own?:Watches
v32025__8,0.0035695428944706683,What is the major change with the rainfall?:Dry season becom
v32031__8,0.0035137663707298862,In which way have these changes affected your non agricultur
v91009a__5,0.003445840636442429,The 3 most important reasons for why poor people have low in
v32025__5,0.003233816920569459,What is the major change with the rainfall?:Too much rain du
v91009a__1,0.0032327294633017634,The 3 most important reasons for why poor people have low in
pestapp__3,0.0031377025081938278,Pesticides applied by the farmer:Fungicides
v91001__6,0.003094802650174373,Which ones of the following assets does your HH own?:Water p
v24002a__7,0.0030717192429898592,"The household sent or received money, gift, or in kinds:Memo"
v91001__47,0.003004289854695187,Which ones of the following assets does your HH own?:Bed
v92021f,0.0029882697330382815,How often do you use the internet for finding information ab
v42053,0.002943469524418128,The perspective of household for producing organic crops in 
v32036__1,0.00291411283020055,Do you fear that the following issues has a negative impact 
v42003a__412,0.0028623048931547155,Variety:Pepper
v71401,0.0028588444604367535,Do you have any savings?
v91001__5,0.0028546374322729216,Which ones of the following assets does your HH own?:Water t
v32026__1,0.0028528994311613678,What is the major change with the temperature?:Getting hotte
v43102__2,0.0028517530011021195,Animal species/production activity:Beef cattle
familylabor__8,0.002832387483748582,For which of the following planting stages did household use
v44020,0.0028044196804132655,Did you regulary receive advice on farming activities by ext
v24002a__90,0.002799544878393112,"The household sent or received money, gift, or in kinds:Othe"
v32031__20,0.002798907464541419,In which way have these changes affected your non agricultur
v91001__26,0.0027648130276494228,Which ones of the following assets does your HH own?:TV(s)
v32027__3,0.0025849876017206676,What is the major change with regards to the storms?:Less se
v61001,0.002508057931869156,In how many non-farm self-emloyment activities have members 
v32036__2,0.0025054054201458574,Do you fear that the following issues has a negative impact 
v32027__4,0.0025016856434596844,What is the major change with regards to the storms?:Less fr
v24002a__5,0.002406921662451715,"The household sent or received money, gift, or in kinds:Hous"
v71411__1,0.0023834498155851486,For what you expect to use savings in future (three most imp
hiredlabor__1,0.0023685515440160084,For which of the following planting stages did household use
v26003a__1,0.002329080906956338,Trash disposal:Trashcan from official garbage disposal servi
v32025__2,0.0023141961376401303,What is the major change with the rainfall?:Less rain in tot
v71411__2,0.0022943975448809334,For what you expect to use savings in future (three most imp
v43101__2,0.0022887110475809155,Did you keep any of the stocks listed below between [refperi
familylabor__7,0.0022885049833803006,For which of the following planting stages did household use
v26003a__6,0.0022648186246258754,Trash disposal:Collect and sell
v92020__106,0.0022638248570195627,For which purposes that your HH uses the internet?:Find info
v91001__33,0.0022585352685228904,Which ones of the following assets does your HH own?:Gas sto
v32024,0.0022157212473908118,Climate change over time?
v91001__44,0.0022135653227663686,Which ones of the following assets does your HH own?:Furnitu
v42002__3,0.0021919295830017957,Which crops did you plant? - General category:Horticultural 
v71301,0.0021886597429008636,"Did you ever lend out cash or goods (rice, fertilizer etc.) "
v92020__107,0.0021625540164766275,For which purposes that your HH uses the internet?:Buy items
v92021c,0.002141303138991255,How often do you use the internet for entertainment
v82001__6,0.002138417509798207,Food insecurity experience:… was there a time when your hous
v91001__34,0.002128765926901915,Which ones of the following assets does your HH own?:Water h
v42003a__6,0.0021254279255191197,Variety:Cassava
v32025__3,0.002121442220791765,What is the major change with the rainfall?:More rain in ear
v32027__20,0.002079200922791865,What is the major change with regards to the storms?:No chan
v42002a__3,0.0020780821424904376,Which crops did you plant? - Detailed:Other field crops
v91008__7,0.002074972397974872,The 3 most important reasons for why rich people have high i
v24002a__1,0.002065704833471892,"The household sent or received money, gift, or in kinds:Pers"
familylabor__1,0.0020534178285844364,For which of the following planting stages did household use
v43102__71,0.002048865157658473,Animal species/production activity:Chicken for eggs
v32028__5,0.0020433711234087797,In which way do these changes affect your agricultural activ
v43102__7,0.002042525262889274,Animal species/production activity:Chicken for meat
v91001__40,0.0020397446522730095,Which ones of the following assets does your HH own?:Electri
v82001__7,0.002014684584929826,Food insecurity experience:… was there a time when you were 
v91001__124,0.002005291018508649,"Which ones of the following assets does your HH own?:Pigsty,"
v32036__3,0.0019825782954659595,Do you fear that the following issues has a negative impact 
v42003a__12,0.0019771308138657735,Variety:Non-glutinous rice
v26003a__3,0.0019623892403747485,Trash disposal:Burn
v43201__4,0.001960899064957486,Did you produce any of the following livestock products?:Chi
v32028__1,0.0019516270040089853,In which way do these changes affect your agricultural activ
v32025__16,0.0019465196276169687,What is the major change with the rainfall?:More rainy days
v92031__0,0.0019341184501155512,Did you use the internet for crop or livestock production in
v92020__104,0.001922098889484497,For which purposes that your HH uses the internet?:Find info
v32028__7,0.0019128161041949048,In which way do these changes affect your agricultural activ
v43201__26,0.0018941041456033447,Did you produce any of the following livestock products?:Dun
v32028__20,0.001863995350988793,In which way do these changes affect your agricultural activ
v43101__1,0.0018590754910355314,Did you keep any of the stocks listed below between [refperi
familylabor__6,0.0018562888249357382,For which of the following planting stages did household use
v32025__1,0.001851527985467278,What is the major change with the rainfall?:More rain in tot
v42003a__11,0.0018474507690244206,Variety:Coffee
v71101,0.001845426330436698,"Did you ever borrow cash or goods (rice, fertilizer, etc) or"
v62003__90,0.0018253024699581618,Category of investment:Others
fertapp__2,0.0018200001653498694,Did the farmer apply fertilizer?:Organic Fertilizer
v32030__20,0.0018192540072839729,How did you adjust your agricultural activities?:No adjustme
pestapp__1,0.0018158740677405689,Pesticides applied by the farmer:Herbicides
v71411__9,0.0018138242078843995,For what you expect to use savings in future (three most imp
hiredlabor__6,0.001802396011179583,For which of the following planting stages did household use
v26003,0.0017546786139459607,Garbage separation before disposal
familylabor__2,0.001752179419574212,For which of the following planting stages did household use
v91001__39,0.0017511454713316007,Which ones of the following assets does your HH own?:Air con
v42003a__102,0.0017311261225497942,Variety:Other fragrant rice
v92020__111,0.0017248135932583766,For which purposes that your HH uses the internet?:Carry out
v42002__2,0.0017232375271550777,Which crops did you plant? - General category:Tree crops
v32030__11,0.0016721077515820595,How did you adjust your agricultural activities?:Use more pe
v32030__13,0.0016518503814971607,How did you adjust your agricultural activities?:Use more fe
v91009a__7,0.0016432627456000764,The 3 most important reasons for why poor people have low in
v91001__32,0.0016344795793810378,Which ones of the following assets does your HH own?:Refrige
v91001__37,0.0016322948164613272,Which ones of the following assets does your HH own?:Househo
v91001__90,0.0016047129639611398,"Which ones of the following assets does your HH own?:Other, "
v26003a__2,0.0016006571050178292,Trash disposal:Private trashcan (emptied by household)
v42003a__90,0.0015924368145606208,"Variety:Other, specify"
v42002__1,0.0015865497164172528,Which crops did you plant? - General category:Field Crops (r
v32030__5,0.001557254237133513,How did you adjust your agricultural activities?:Invest more
v92031__1,0.001543543015544707,Did you use the internet for crop or livestock production in
v91001__3,0.0015373878380713867,Which ones of the following assets does your HH own?:Knapsac
v92020__102,0.001520515181782146,For which purposes that your HH uses the internet?:Contact b
v91001__42,0.0015198606140320106,Which ones of the following assets does your HH own?:Persona
v42003c,0.0015175624397695895,Is the rice direct seeded or transplanted?
v91001__8,0.0015130129515180044,Which ones of the following assets does your HH own?:Pipe(s)
v91001__43,0.0014895057081815287,Which ones of the following assets does your HH own?:Jewelle
v92031__2,0.001487282165189881,Did you use the internet for crop or livestock production in
v92020__112,0.0014704231695180452,For which purposes that your HH uses the internet?:Learning 
v42002a__6,0.001469528085817178,Which crops did you plant? - Detailed:Other trees
v91001__25,0.0014606469976028227,Which ones of the following assets does your HH own?:Bicycle
v91009a__6,0.0014521530212581479,The 3 most important reasons for why poor people have low in
v44002__3,0.0014510750298876542,"Is your household involved in fishing, hunting, collecting o"
v32025__10,0.00144611584195808,What is the major change with the rainfall?:Rainy season bec
v26003a__5,0.001437547515134417,Trash disposal:Bury
v42003a__15,0.0014359003661878725,Variety:Cashew nuts
v32025__17,0.0014244722502241949,What is the major change with the rainfall?:Less rainy days
pestapp__2,0.0014235432634314093,Pesticides applied by the farmer:Insecticides &amp; Snail ki
v32028__3,0.0014227008458635056,In which way do these changes affect your agricultural activ
v71411__4,0.0014163153314257146,For what you expect to use savings in future (three most imp
familylabor__5,0.0014105533069033935,For which of the following planting stages did household use
pestapp__4,0.0014075934220996028,Pesticides applied by the farmer:None
v42003a__16,0.0014073178834091103,Variety:Grass
v61001b,0.0013761942220350903,Do you think there are good opportunities for starting a new
v42002a__4,0.0013623145679013693,Which crops did you plant? - Detailed:Fruits trees
v32026__3,0.0013567331024802434,What is the major change with the temperature?:Cool season i
v71402,0.001342412912581085,"During the period of [refperiod], could you save parts of yo"
v42003a__1302,0.0013242078786716207,Variety:Jackfruit
v42003a__414,0.0013224102743968282,Variety:Tea
v91001__49,0.001320725798293891,Which ones of the following assets does your HH own?:Smart p
v42002a__5,0.0013198204767756025,Which crops did you plant? - Detailed:Wood trees
v42002a__1,0.0013111882036726276,Which crops did you plant? - Detailed:Rice
v91008__6,0.00130884773635941,The 3 most important reasons for why rich people have high i
v91001__50,0.0013060120758595609,Which ones of the following assets does your HH own?:Tablet
hiredlabor__8,0.0012960175822039866,For which of the following planting stages did household use
v24002a__6,0.001292668286390041,"The household sent or received money, gift, or in kinds:Unsp"
v42003a__1319,0.0012908849198689477,Variety:Longan
v91001__29,0.0012889774617078913,Which ones of the following assets does your HH own?:Radio(s
v91009a__90,0.0012821542415152067,The 3 most important reasons for why poor people have low in
v91001__300,0.0012815219057951074,Which ones of the following assets does your HH own?:Electri
v42003a__28,0.0012736245781132007,Variety:Cajuput tree
v92031__3,0.0012380053976432637,Did you use the internet for crop or livestock production in
v42003a__907,0.0012284776507129874,Variety:Home vegetable garden
v62003__8,0.0012261756243544687,Category of investment:Transportation vehicles
v43102__4,0.0012166169966001542,Animal species/production activity:Pig (fattening)
v42003a__947,0.001211909918348339,Variety:Water cress
v61001a,0.0012055277879262766,Do you or any of your household members have plans to start 
v32027__1,0.0012047578640019107,What is the major change with regards to the storms?:More se
v42003a__26,0.0012027784667437277,Variety:Sweet potato
v91008__10,0.0011939835861891894,The 3 most important reasons for why rich people have high i
v91001__24,0.0011870941330837904,Which ones of the following assets does your HH own?:Motorcy
hiredlabor__2,0.001175917493843419,For which of the following planting stages did household use
familylabor__3,0.0011756988175056677,For which of the following planting stages did household use
v31102__11,0.0011746635393824999,Type of event:Drought
v42003a__1301,0.0011738714469427592,Variety:Banana
v42001,0.0011696502400447442,"Did you grow rice, field crops, garden crops or permanent cr"
v42002a__2,0.001161261285822475,Which crops did you plant? - Detailed:Corn
v91001__4,0.0011597139716580064,Which ones of the following assets does your HH own?:Engine 
v31102__24,0.0011495717756232363,Type of event:Accident
v80009,0.0011446317382026953,How much rent do you pay per month for the house(s) you live
hiredlabor__7,0.0011402563801568887,For which of the following planting stages did household use
v91001__301,0.0011272895766752378,Which ones of the following assets does your HH own?:Laptop
v44002__1,0.0011213998979510004,"Is your household involved in fishing, hunting, collecting o"
v91001__80,0.0011195440322196138,Which ones of the following assets does your HH own?:Solar p
v32026__2,0.0011172188592071274,What is the major change with the temperature?:Getting not s
v42003a__21,0.0010907478762512983,Variety:Fodder maize w/o specification
v92019,0.0010872831590089834,When your household uses the internet what is the major devi
v32027__2,0.001086388659239,What is the major change with regards to the storms?:More fr
v91008__90,0.001081969043863978,The 3 most important reasons for why rich people have high i
v62016a__5,0.001065831988815141,Category of disinvestment:Livestock and crops
v91001__1,0.0010453714123235354,Which ones of the following assets does your HH own?:Tractor
v31102__63,0.0010389922449078146,Type of event:Pest and livestock diseases
v91001__2,0.0010325366519825252,Which ones of the following assets does your HH own?:Tractor
v32025__11,0.0010040850536277258,What is the major change with the rainfall?:Rainy season bec
v62003__5,0.0009944811724359945,Category of investment:Livestock and crops
v32028__9,0.0009796203627314769,In which way do these changes affect your agricultural activ
v92020__105,0.0009365847318606902,For which purposes that your HH uses the internet?:Find info
v92031__5,0.0009351146119162671,Did you use the internet for crop or livestock production in
v91001__21,0.0009218508669848408,Which ones of the following assets does your HH own?:Biogas 
v92031__4,0.0009181101265503072,Did you use the internet for crop or livestock production in
v31102__10,0.0009153483703394568,Type of event:Flooding of agricultural land
v32028__6,0.0009150260546111224,In which way do these changes affect your agricultural activ
v32026__4,0.0009068489959289524,What is the major change with the temperature?:Cool season i
v32030__1,0.0008991044990536229,How did you adjust your agricultural activities?:Grow more v
v91001__28,0.0008862403271378085,Which ones of the following assets does your HH own?:Satelli
v42003a__915,0.0008845258121684946,Variety:Waxgourd
v92005,0.0008776310781925714,Where did the household live before?
v31102__2,0.0008707771013797686,Type of event:Death of household member
v71411__5,0.0008687593143016336,For what you expect to use savings in future (three most imp
v32028__2,0.000862955736034439,In which way do these changes affect your agricultural activ
v91009a__9,0.0008613203439651722,The 3 most important reasons for why poor people have low in
v42003a__30,0.000859164357018419,Variety:Areca-nut tree
v32025__7,0.0008321197838793303,What is the major change with the rainfall?:Rains starts the
v42003a__934,0.0008099517928973191,Variety:Chinese mustard
v24002a__3,0.0008087333442497752,"The household sent or received money, gift, or in kinds:Fune"
v43101__4,0.00077155910225667,Did you keep any of the stocks listed below between [refperi
v31102__46,0.0007661479562270474,Type of event:Being cheated at work/business
v42003a__1317,0.0007638966744188888,Variety:Papaya
hiredlabor__5,0.0007629978425143454,For which of the following planting stages did household use
v31102__16,0.0007608644148349508,Type of event:Landslide or erosion
v42003a__1321,0.0007516597552638592,Variety:Pomelo
v43102__9,0.0007333500037753588,Animal species/production activity:Ducks
v71411__6,0.0007270407352585578,For what you expect to use savings in future (three most imp
hiredlabor__3,0.00071568524183948,For which of the following planting stages did household use
v42003a__3,0.0007105328736938765,Variety:Peanuts
v42003a__1804,0.0007076738805101474,Variety:Timber wood
v71411__8,0.0007065784983644652,For what you expect to use savings in future (three most imp
v62003__6,0.000701839642783258,Category of investment:Farm equipment
v82001__4,0.0006801462585252005,Food insecurity experience:… was there a time when you had t
v42003a__925,0.0006794225501944606,Variety:Turmeric
v71411__11,0.0006775634949624551,For what you expect to use savings in future (three most imp
v91001__114,0.0006751328821293518,Which ones of the following assets does your HH own?:Pushcar
v92020__108,0.000671854909028648,For which purposes that your HH uses the internet?:Buy items
v31102__55,0.0006708827801875925,Type of event:Storm
v42003a__1315,0.000666078286601604,Variety:Mango
fertapp__1,0.0006618770274151533,Did the farmer apply fertilizer?:Mineral Fertilizer
v32026__8,0.0006606262138960866,What is the major change with the temperature?:Less heat day
familylabor__4,0.0006564345151450647,For which of the following planting stages did household use
v91001__10,0.0006529320875663875,Which ones of the following assets does your HH own?:Rice mi
v91008__9,0.000649500775050723,The 3 most important reasons for why rich people have high i
v43102__1,0.0006418786642814019,Animal species/production activity:Buffalo
v91009a__11,0.0006402133958190543,The 3 most important reasons for why poor people have low in
v71411__10,0.0006299749785947811,For what you expect to use savings in future (three most imp
v91001__14,0.0006297944295882767,Which ones of the following assets does your HH own?:Fishing
v32025__4,0.0006236222554323642,What is the major change with the rainfall?:Less rain in ear
v91001__17,0.0006068930042478087,Which ones of the following assets does your HH own?:Non-far
v43102__15,0.0006066456210696093,Animal species/production activity:Tilapia
v42003a__23,0.0006043814884083069,Variety:Glutinous corn
v62016a__2,0.000604160562722053,Category of disinvestment:Farm land and buildings
v42003a__5,0.000585768006816765,Variety:Mungbeans
v71411__3,0.0005803391376748041,For what you expect to use savings in future (three most imp
v44002__4,0.0005689891144728989,"Is your household involved in fishing, hunting, collecting o"
v32030__2,0.0005657578037781374,How did you adjust your agricultural activities?:Grow less v
v91001__22,0.0005571664957137883,Which ones of the following assets does your HH own?:Truck(s
v62003__1,0.0005540264472965064,Category of investment:Residential land and buildings
v92020__103,0.0005535147925416006,For which purposes that your HH uses the internet?:Used for 
v42003a__1325,0.000529815993382857,Variety:Avocado
v42003a__909,0.000521588454821986,Variety:Sweet basil
fertapp__3,0.0005054530065151225,Did the farmer apply fertilizer?:No Fertilizer at all
v32025__20,0.0005026599531349151,What is the major change with the rainfall?:No change
v42003a__943,0.0005010924273844,Variety:Tomato
v31102__90,0.0004992840513253524,"Type of event:Other shocks, specify"
v91001__13,0.0004977336052380513,Which ones of the following assets does your HH own?:Boat
v42003a__910,0.0004948383741022311,Variety:Lady finger/finger root
v42003a__913,0.0004929948053253338,Variety:Chinese kale
v32031__1,0.000488695970328159,In which way have these changes affected your non agricultur
v91001__51,0.0004851815826684397,Which ones of the following assets does your HH own?:Car(s)
v71411__7,0.00048434645654053956,For what you expect to use savings in future (three most imp
v43201__5,0.0004625767641803528,Did you produce any of the following livestock products?:Duc
v62003__4,0.000459463788543004,Category of investment:Business equipment
v26003a__4,0.0004573445265879562,Trash disposal:Throw on vacant land
v42003a__1320,0.0004521060821026785,Variety:Orange
v91001__31,0.0004516149733368923,Which ones of the following assets does your HH own?:Mobile 
v42003a__1312,0.00044312220237287,Variety:Guava
v32026__20,0.00044147889368026334,What is the major change with the temperature?:No change
v42003a__912,0.0004187321593723006,Variety:Chinese mustard (Kwang tung)
v24002a__2,0.00040387554378164937,"The household sent or received money, gift, or in kinds:Wedd"
v32025__13,0.00040112589507867514,What is the major change with the rainfall?:Rain less errati
v42003a__905,0.00038782585696773246,Variety:Pumpkin
v62003__2,0.000383742549621021,Category of investment:Farm land and buildings
v42003a__911,0.0003836067481157384,Variety:Ginger
v31102__22,0.0003580539815537365,Type of event:Strong increase of prices for input
v42003a__13,0.0003576132293584076,Variety:Glutinous rice
v42003a__702,0.0003541229114422982,Variety:Sugarcane (human consumption)
v92020__110,0.0003482011452574228,For which purposes that your HH uses the internet?:Sell item
v32026__7,0.00034609864460470916,What is the major change with the temperature?:Less extreme 
v43102__5,0.00034219312025125803,Animal species/production activity:Pig (piglet production)
v92020__101,0.00033882195156888494,For which purposes that your HH uses the internet?:Contact f
v92020__109,0.00033501286348182633,For which purposes that your HH uses the internet?:Sell priv
hiredlabor__4,0.0003283262810739468,For which of the following planting stages did household use
v42003a__938,0.00030969002323276114,Variety:Morning glory
v42003a__1311,0.0003085244983276879,Variety:Coconut
v32031__4,0.00030390722487961473,In which way have these changes affected your non agricultur
v43102__3,0.0002994025808926123,Animal species/production activity:Dairy cattle
v43102__90,0.00029295550640680605,"Animal species/production activity:Other, specify"
v42003a__923,0.0002887610491761628,Variety:Spring onion
v91009a__12,0.0002884843318552667,The 3 most important reasons for why poor people have low in
v32031__10,0.00028447482841031593,In which way have these changes affected your non agricultur
v32030__90,0.00027801329851893957,"How did you adjust your agricultural activities?:Other, spec"
v42003a__908,0.0002772163888512168,Variety:Cucumber
v43201__27,0.0002762173458631558,Did you produce any of the following livestock products?:Pig
v42003a__1328,0.0002720718428719536,Variety:Macca
v62016a__8,0.0002647205326319375,Category of disinvestment:Transportation vehicles
v32030__4,0.0002543564916014316,How did you adjust your agricultural activities?:Add new cro
v92020__90,0.0002514736292109321,"For which purposes that your HH uses the internet?:Other, sp"
v32030__3,0.00024766006871187557,How did you adjust your agricultural activities?:Stop growin
v42003a__946,0.000244121959327617,Variety:Bitter gourd
v42003a__924,0.00023417287814720707,Variety:Lemongrass
v62016a__1,0.00023410971278191233,Category of disinvestment:Residential land and buildings
v71411__13,0.00022682908144290868,For what you expect to use savings in future (three most imp
v43102__25,0.00022570585299188492,Animal species/production activity:Catfish
v42003a__1803,0.0002176859419183987,Variety:Eaglewood
v42003a__901,0.0002098843078644431,Variety:Shallot
v42003a__941,0.00020935719381655771,Variety:Chilli
v32031__9,0.00020640532491641541,In which way have these changes affected your non agricultur
listrankhhhead,0.00020419872775915456,Spot in the list of HH Head
v32031__11,0.00019034936541537271,In which way have these changes affected your non agricultur
v42003a__936,0.0001877388060587064,Variety:Coriander
v32028__10,0.00018554004030374983,In which way do these changes affect your agricultural activ
v43102__6,0.00018334121014352883,Animal species/production activity:Goat
v32031__90,0.0001790009787813565,In which way have these changes affected your non agricultur
v31102__21,0.00017619255912447554,Type of event:Strong decrease of prices for output
v42003a__932,0.00016892154061437793,Variety:Angled gourd
v92016a,0.00016788086367784918,In which house/dwelling do you live?
v42003a__1307,0.00016301459302153518,Variety:Watermelon
v43101__5,0.0001606232279101863,Did you keep any of the stocks listed below between [refperi
v91001__11,0.0001579587646793774,Which ones of the following assets does your HH own?:Threshi
v71411__90,0.0001511391009376113,For what you expect to use savings in future (three most imp
v42003a__10,0.0001503333141043968,Variety:Para rubber
v32025__9,0.0001489845866678839,What is the major change with the rainfall?:Dry season becom
v82001__8,0.00014642909100696526,Food insecurity experience:… was there a time when you went 
v42003a__1310,0.00014454946364192208,Variety:Custard apple
v91001__36,0.00014220376074452793,Which ones of the following assets does your HH own?:Sewing 
v42003a__1801,0.00013673587839968336,Variety:Teak
v32030__12,0.00013560973774697738,How did you adjust your agricultural activities?:Use less pe
v32028__90,0.00013560462056320466,In which way do these changes affect your agricultural activ
v42003a__1323,0.00013311782421235563,Variety:Rambutan
v31102__77,0.0001271268576395051,Type of event:Flooding of house/homestead
v43102__34,0.00012154700140377036,Animal species/production activity:Stag
v43102__29,0.00011793459769675473,Animal species/production activity:Other fish
v42003a__1329,0.00011741810656068932,Variety:Cocoa
v31102__6,0.00011621398184989328,Type of event:House damage
v42003a__945,0.0001112183869302807,Variety:Lime
v32025__6,0.00011021496697485082,What is the major change with the rainfall?:Not enough rain 
v42003a__902,0.00010324611683529626,Variety:Onion
v32030__7,9.856754868200778e-05,How did you adjust your agricultural activities?:Invest more
v43102__14,9.490808459640418e-05,Animal species/production activity:Tiger prawns/fresh water 
v43101__3,9.461600068219164e-05,Did you keep any of the stocks listed below between [refperi
v62003__3,9.424079866335055e-05,Category of investment:Business land and buildings
v91001__27,9.2230890968754e-05,Which ones of the following assets does your HH own?:Video c
v43201__90,9.139958062314651e-05,Did you produce any of the following livestock products?:Oth
v42003a__1304,9.13648344661126e-05,Variety:Dragon fruit
v32030__14,8.847566743772246e-05,How did you adjust your agricultural activities?:Use less fe
v42003a__701,8.78184593458559e-05,Variety:Sugarcane (processing)
v91008__98,8.584935099211296e-05,The 3 most important reasons for why rich people have high i
v42003a__19,8.580708819687683e-05,Variety:Eucalyptus
v43102__16,8.250911261195404e-05,Animal species/production activity:Carp
v42003a__101,7.172849508816899e-05,Variety:Jasmine rice
v71412__7,6.990901956737217e-05,What kinds of savings do you possess:Ho/Hui or Phuong (VN)
v32030__16,6.860115080356986e-05,How did you adjust your agricultural activities?:Invest in p
v31102__5,6.744625884351642e-05,Type of event:Had to spend money because of ceremony
v42003a__920,6.744387094579412e-05,Variety:Cabbage
v32028__4,6.69867374921409e-05,In which way do these changes affect your agricultural activ
v42003a__914,6.561589413533565e-05,Variety:Yard long bean
v31102__3,6.509496008691814e-05,Type of event:Household member left the household
v42003a__22,6.407815825122966e-05,Variety:Sweet corn (cv. Super sweet)
v91001__15,6.398177880788957e-05,Which ones of the following assets does your HH own?:Fishing
v42003a__1303,6.356728277281177e-05,Variety:Taro
v43102__8,6.321244903751277e-05,Animal species/production activity:Fighting cocks
v32025__90,6.288174423964907e-05,"What is the major change with the rainfall?:Other, specify"
v31102__84,6.233575388978693e-05,Type of event:Increased product market competition
v42003a__921,6.199858803213808e-05,Variety:Chinese chive
v42003a__942,6.106298918321416e-05,Variety:Eggplant/Aubergine
